TO 1,TO 2,TO 3,TO 4,TO 5,TO 6,TO 7,RATA- RATA TO 4 S.D 7,ESTIMASI RATA-RATA,Rata-rata,Ranking,RUMPUN,JURUSAN/PRODI,PU,PK,PPU,PBM,LIND,LING
652.13,576.93,599.97,562.57,642.0,649.84,567.21,605.41,642.18,660.47,37.0,TEKNIK,TEKNOLOGI REKAYASA INFORMATIKA INDUSTRI,661.37,681.07,700.05,684.13,577.61,675.08
574.26,509.16,586.01,604.31,582.83,608.51,550.28,586.48,625.55,657.78,38.0,-,-,709.94,677.87,682.33,715.09,679.31,659.58
544.62,585.3,580.78,527.61,599.55,640.5,587.98,588.91,627.69,656.32,39.0,TEKNIK,TEKNIK KOMPUTER,642.92,674.28,665.68,626.3,679.31,710.2
594.27,610.28,566.45,584.04,533.92,559.11,558.44,558.88,601.29,639.17,40.0,-,-,683.65,719.89,710.95,699.34,546.94,509.13
617.23,507.4,603.71,544.72,640.43,647.79,598.24,607.8,644.28,638.36,41.0,BISNIS,ADMINISTRASI BISNIS,694.93,691.93,644.43,569.3,480.75,757.98
571.09,522.61,570.96,498.04,581.26,551.64,548.54,544.87,588.99,638.13,42.0,-,-,621.54,664.34,666.12,634.0,634.11,591.41
547.12,569.45,545.73,652.52,584.08,581.6,564.08,595.57,633.54,637.61,43.0,PERTANIAN,AGRIBISNIS,730.45,576.89,714.71,580.97,656.71,561.71
598.68,569.48,600.68,602.08,595.5,626.51,547.14,592.81,631.11,631.52,44.0,-,-,687.55,671.97,659.03,668.98,558.24,609.46
590.5,559.12,610.42,619.88,610.84,624.06,557.28,603.01,640.08,629.88,45.0,PENDIDIKAN,PENDIDIKAN GEOGRAFI,725.76,666.41,647.48,636.03,553.0,626.37
606.58,578.48,552.3,574.75,591.39,647.89,574.93,597.24,635.0,616.46,46.0,-,-,725.88,665.82,633.87,729.94,477.52,659.44
551.72,557.36,553.54,513.58,549.59,562.11,546.66,542.99,587.33,616.42,47.0,KOMUNIKASI, KOMUNIKASI DIGITAL DAN MEDIA,679.59,400.7,700.4,662.92,638.23,623.53
639.65,517.66,565.95,590.82,583.34,612.08,579.66,591.47,629.94,614.58,48.0,-,-,562.21,570.65,687.21,620.26,601.82,651.26
591.97,555.42,561.01,579.27,556.57,574.31,531.87,560.51,602.73,612.11,49.0,-,-,543.18,599.83,585.92,675.85,609.89,676.23
520.82,518.69,542.37,559.47,521.73,512.98,463.37,514.39,562.2,592.82,50.0,PENDIDIKAN,PENDIDIKAN TATA BOGA,683.73,516.48,642.24,588.31,567.69,576.45
533.29,518.6,550.43,616.27,589.6,567.39,528.66,575.48,615.89,592.79,51.0,-,-,659.24,688.04,687.35,496.46,585.33,616.67
509.68,504.34,480.12,497.28,528.2,618.91,515.09,539.87,584.59,591.48,52.0,BISNIS,MANAJEMEN,695.67,668.97,591.55,481.48,586.8,460.44
481.21,504.38,534.94,488.18,515.91,521.69,588.24,528.51,574.61,568.21,53.0,-,-,581.79,689.28,539.85,504.4,471.06,594.39
539.42,540.68,585.33,524.92,533.08,563.38,497.34,529.68,575.64,565.86,54.0,-,-,583.0,568.62,540.81,636.46,490.44,714.63
565.52,531.48,572.68,524.37,560.73,550.01,512.46,536.89,581.98,563.58,55.0,-,-,698.01,612.91,573.92,556.51,564.75,573.0
554.05,521.5,606.295,489.19,470.98,527.27,542.57,507.5,556.15,535.42,56.0,-,-,608.62,413.53,621.5,631.83,575.04,405.64
524.04,465.15,562.47,471.66,511.56,533.86,507.78,506.21,555.02,527.79,57.0,-,-,561.02,387.27,521.88,569.89,619.12,571.97
559.98,505.18,608.45,513.62,519.47,517.53,489.43,510.01,558.36,513.92,58.0,PENDIDIKAN,PENDIDIKAN VOKASIONAL KESEJAHTERAAN KELUARGA,565.31,480.37,613.75,446.32,469.89,448.66
